date_time,traffic_id,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
02/03/2024 20:54,14619,London,Camden,3277,99,4,Medium,Snowy,9077
05/03/2024 22:25,16638,London,Southwark,2592,80,4,Low,Dry,7146
22/09/2024 16:16,14606,London,Camden,536,73,3,Low,Wet,959
17/11/2024 07:42,11489,London,Chelsea,2194,41,3,Low,Dry,6663
07/08/2024 12:27,17023,London,Southwark,4343,80,1,High,Dry,7872
23/08/2024 03:38,15846,London,Chelsea,1381,15,3,Medium,Dry,9503
22/01/2024 16:01,13943,London,Kensington,1295,41,4,Low,Dry,4604
03/01/2024 21:55,17460,London,Camden,320,50,3,Low,Damaged,7190
09/08/2024 12:38,17428,London,Kensington,4135,50,3,Low,Wet,8124
28/06/2024 20:37,9115,London,Islington,3001,43,5,High,Snowy,1631
27/12/2024 01:58,14445,London,Southwark,856,30,7,Low,Wet,9889
20/07/2024 09:04,18327,London,Southwark,242,74,0,Medium,Dry,7636
08/08/2024 06:14,12039,London,Islington,1096,77,6,Low,Dry,3118
01/08/2024 13:18,12700,London,Chelsea,4094,35,6,Low,Dry,8294
12/02/2024 09:17,15576,London,Islington,3894,23,4,Low,Dry,7261
24/11/2024 21:52,16125,London,Chelsea,640,20,3,Low,Snowy,5576
14/08/2024 15:37,15091,London,Camden,1380,48,5,High,Snowy,5540
22/02/2024 23:41,17438,London,Kensington,4661,46,1,Low,Damaged,7213
28/06/2024 21:49,19451,London,Islington,4492,45,7,Low,Dry,8516
06/02/2024 23:09,10641,London,Kensington,3348,55,3,High,Dry,7041
11/09/2024 18:57,12315,London,Kensington,133,94,5,High,Dry,7969
10/02/2024 19:09,16261,London,Chelsea,482,96,2,High,Damaged,204
10/04/2024 21:22,19972,London,Islington,4239,72,0,Low,Wet,9769
21/12/2024 08:59,9167,London,Kensington,4538,41,7,Low,Dry,5723
13/11/2024 17:41,10283,London,Southwark,773,24,3,Low,Snowy,6197
31/01/2024 11:10,15926,London,Chelsea,1202,34,6,Low,Dry,6750
04/04/2024 15:11,9733,London,Islington,3544,13,4,Low,Dry,8628
11/08/2024 08:12,10734,London,Islington,4761,70,7,Low,Snowy,4998
20/08/2024 03:53,9759,London,Islington,960,83,8,Low,Snowy,5917
11/07/2024 06:07,13712,London,Islington,2010,52,5,High,Dry,999
28/03/2024 14:36,14311,London,Southwark,3588,29,7,Low,Wet,8167
09/09/2024 14:28,9650,London,Chelsea,3859,71,6,Low,Snowy,3375
14/08/2024 01:17,10242,London,Islington,1716,14,4,High,Dry,4327
22/09/2024 21:40,10785,London,Islington,2064,87,1,Medium,Damaged,7140
10/12/2024 03:31,13625,London,Southwark,1712,27,5,Low,Wet,7775
03/05/2024 14:41,11886,London,Southwark,1947,84,7,Low,Dry,7925
31/05/2024 17:34,18887,London,Camden,3624,55,5,High,Dry,6962
25/06/2024 16:41,16785,London,Southwark,2095,76,0,Low,Damaged,116
26/11/2024 09:40,19411,London,Islington,4653,69,1,Medium,Dry,7716
30/10/2024 21:20,9963,London,Islington,166,44,3,Medium,Snowy,5003
10/12/2024 19:43,12505,London,Islington,2579,71,5,Medium,Snowy,437
11/11/2024 21:21,13808,London,Southwark,4164,37,4,Low,Damaged,8746
13/02/2024 16:24,14598,London,Southwark,3222,-76,4,Low,Damaged,9737
13/10/2024 12:50,12778,London,Southwark,2396,54,2,Low,Damaged,124
05/02/2024 11:23,9456,London,Islington,1627,56,3,Medium,Wet,9349
05/01/2024 22:01,14260,London,Southwark,2308,65,0,Medium,Damaged,620
09/07/2024 06:45,16762,London,Kensington,2020,88,6,Medium,Snowy,2198
24/09/2024 14:39,17389,London,Kensington,681,23,3,Low,Snowy,6066
21/07/2024 01:48,18602,London,Southwark,1412,92,8,Low,Dry,1423
18/08/2024 10:25,12711,London,Southwark,426,54,5,Low,Wet,5897
27/04/2024 01:30,9914,London,Kensington,2810,-24,7,High,Dry,1775
10/11/2024 08:00,11420,London,Chelsea,293,27,9,Low,Dry,3869
