traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
14619,2024-03-02 20:54:33,London,Camden,3277,99,4,Medium,Snowy,9077
16638,2024-03-05 22:25:59,London,Southwark,2592,80,4,Low,Dry,7146
14606,2024-09-22 16:16:03,,Camden,536,73,3,Low,Wet,959
11489,2024-11-17 07:42:10,London,Chelsea,2194,41,3,,,6663
17023,2024-08-07 12:27:00,London,Southwark,4343,80,1,High,,7872
15846,2024-08-23 03:38:34,,Chelsea,1381,15,3,Medium,,9503
13943,2024-01-22 16:01:21,,Kensington,1295,41,4,Low,Dry,4604
17460,2024-01-03 21:55:21,London,Camden,320,50,3,Low,Damaged,7190
17428,2024-08-09 12:38:12,London,Kensington,4135,50,3,Low,Wet,8124
9115,2024-06-28 20:37:13,,,3001,43,5,High,Snowy,1631
14445,2024-12-27 01:58:58,,Southwark,856,30,7,Low,Wet,9889
18327,2024-07-20 09:04:03,,Southwark,242,74,0,Medium,,7636
12039,2024-08-08 06:14:14,,Islington,1096,77,6,Low,Dry,3118
12700,2024-08-01 13:18:59,,Chelsea,4094,35,6,Low,,8294
15576,2024-02-12 09:17:28,,Islington,3894,23,4,,,7261
16125,2024-11-24 21:52:08,London,Chelsea,640,20,3,Low,Snowy,5576
15091,2024-08-14 15:37:29,,Camden,1380,48,5,High,Snowy,5540
17438,2024-02-22 23:41:44,London,Kensington,4661,46,1,Low,Damaged,7213
19451,2024-06-28 21:49:54,London,,4492,45,7,Low,Dry,8516
10641,2024-02-06 23:09:47,,Kensington,3348,55,3,High,,7041
12315,2024-09-11 18:57:10,London,Kensington,133,94,5,High,,7969
16261,2024-02-10 19:09:16,,Chelsea,482,96,2,High,Damaged,204
19972,2024-04-10 21:22:41,London,,4239,72,0,Low,Wet,9769
9167,2024-12-21 08:59:32,,Kensington,4538,41,7,Low,,5723
10283,2024-11-13 17:41:52,,Southwark,773,24,3,,Snowy,6197
15926,2024-01-31 11:10:50,,Chelsea,1202,34,6,Low,,6750
9733,2024-04-04 15:11:05,London,Islington,3544,13,4,,,8628
10734,2024-08-11 08:12:41,London,,4761,70,7,Low,Snowy,4998
9759,2024-08-20 03:53:41,London,,960,83,8,,Snowy,5917
13712,2024-07-11 06:07:04,,Islington,2010,52,5,High,Dry,999
14311,2024-03-28 14:36:39,London,Southwark,3588,29,7,Low,Wet,8167
9650,2024-09-09 14:28:26,London,Chelsea,3859,71,6,Low,Snowy,3375
10242,2024-08-14 01:17:25,,Islington,1716,14,4,High,,4327
10785,2024-09-22 21:40:13,London,Islington,2064,87,1,Medium,Damaged,7140
13625,2024-12-10 03:31:56,,Southwark,1712,27,5,Low,Wet,7775
11886,2024-05-03 14:41:42,,Southwark,1947,84,7,,,7925
18887,2024-05-31 17:34:18,,Camden,3624,55,5,High,,6962
16785,2024-06-25 16:41:10,London,Southwark,2095,76,0,,Damaged,116
19411,2024-11-26 09:40:05,,,4653,69,1,Medium,,7716
9963,2024-10-30 21:20:23,London,Islington,166,44,3,Medium,Snowy,5003
12505,2024-12-10 19:43:47,,,2579,71,5,Medium,Snowy,437
13808,2024-11-11 21:21:57,,Southwark,4164,37,4,Low,Damaged,8746
14598,2024-02-13 16:24:51,,Southwark,3222,-76,4,,Damaged,9737
12778,2024-10-13 12:50:04,London,Southwark,2396,54,2,Low,Damaged,124
9456,2024-02-05 11:23:29,,Islington,1627,56,3,Medium,Wet,9349
14260,2024-01-05 22:01:40,,Southwark,2308,65,0,Medium,Damaged,620
16762,2024-07-09 06:45:47,,Kensington,2020,88,6,Medium,Snowy,2198
17389,2024-09-24 14:39:35,,Kensington,681,23,3,Low,Snowy,6066
18602,2024-07-21 01:48:06,,Southwark,1412,92,8,,,1423
12711,2024-08-18 10:25:19,London,Southwark,426,54,5,Low,Wet,5897
9914,2024-04-27 01:30:23,London,Kensington,2810,-24,7,High,Dry,1775
11420,2024-11-10 08:00:06,London,Chelsea,293,27,9,,Dry,3869
9740,2024-09-18 14:36:26,London,Chelsea,4173,34,1,Medium,Dry,4575
19453,2024-04-22 12:06:05,London,,436,36,3,Low,Snowy,6716
18431,2024-08-20 19:19:57,,Camden,2579,12,0,High,Damaged,6981
11499,2024-01-01 01:40:45,,,3959,19,0,High,Wet,6909
17739,2024-11-01 00:28:47,London,,2184,70,6,,Damaged,5838
16909,2024-06-10 10:24:28,London,Kensington,1467,52,6,Medium,Snowy,6301
15297,2024-01-27 23:13:58,London,Islington,3354,96,1,Medium,Snowy,4837
10354,2024-11-27 19:49:14,,Kensington,1390,34,0,High,,4444
15423,2024-03-28 19:20:14,London,Kensington,1289,33,9,,Damaged,2438
19609,2024-11-07 08:58:56,London,Chelsea,987,20,6,,Dry,9203
10196,2024-11-29 03:37:55,London,,330,19,6,,Snowy,5206
11804,2024-10-28 02:58:47,,Chelsea,1502,81,0,Medium,Damaged,4827
12158,2024-12-14 11:56:22,,Southwark,582,18,1,Low,Wet,9412
9016,2024-08-10 19:03:16,London,Kensington,89,66,2,,Damaged,6274
10553,2024-06-03 13:00:22,London,,1034,71,7,Medium,Wet,4529
17211,2024-07-22 16:34:51,,Southwark,679,33,0,Low,Dry,2143
9642,2024-07-16 20:04:38,,,4920,48,9,Low,Wet,1174
11964,2024-08-04 10:34:15,,Chelsea,557,61,7,,Snowy,4651
14519,2024-10-03 11:52:42,,Camden,4992,42,0,High,Damaged,3906
15012,2024-03-03 22:48:59,,Southwark,362,32,3,High,Damaged,3752
15070,2024-07-31 09:54:10,London,Kensington,1799,87,7,High,Dry,9985
16975,2024-11-18 10:00:37,,,4527,84,7,Low,Damaged,541
19595,2024-11-16 00:57:35,,,3110,41,3,,Dry,5130
9268,2024-08-17 16:27:16,,Chelsea,4447,54,4,Medium,,4208
16889,2024-10-02 15:53:05,,Southwark,1003,-15,7,Low,Dry,2637
11385,2024-05-03 13:35:25,,Chelsea,2832,75,4,Medium,Snowy,2349
12021,2024-04-17 07:52:21,London,Kensington,349,59,0,High,,5533
12985,2024-09-16 09:01:15,London,Southwark,2470,86,8,,Wet,5358
11895,2024-06-14 13:33:13,London,Camden,2637,81,4,Medium,Wet,1226
19323,2024-06-03 20:40:36,,Chelsea,4620,72,3,,Dry,7382
11686,2024-12-17 02:53:14,London,Camden,4406,30,5,,Dry,2334
9264,2024-04-09 02:05:43,,Kensington,3383,49,4,High,Snowy,119
19990,2024-09-20 20:23:13,,Kensington,697,29,8,Medium,,5286
10476,2024-11-05 02:44:10,London,Kensington,1965,88,9,Medium,Damaged,7889
18813,2024-11-14 18:48:15,,Camden,4853,61,6,Medium,Snowy,8581
9859,2024-06-11 18:22:39,,Southwark,168,24,7,High,Snowy,5375
14687,2024-05-13 19:47:36,London,Camden,126,57,3,Medium,Damaged,1417
12919,2024-03-19 23:58:58,,,2728,46,3,High,Damaged,7826
18882,2024-05-31 18:10:40,,Chelsea,3954,18,2,,,5207
17817,2024-02-06 05:27:02,London,Kensington,1157,85,5,Medium,Dry,1919
15366,2024-10-21 14:49:48,London,Islington,3176,82,8,High,Snowy,9112
16578,2024-11-30 05:58:37,London,Southwark,2317,23,0,Low,Wet,8852
11209,2024-06-22 23:54:00,London,Islington,4460,59,8,,,2296
10452,2024-08-13 16:04:23,London,Camden,3912,80,8,Low,Wet,9605
11092,2024-03-12 03:10:08,London,Southwark,1668,74,7,Medium,Wet,5876
18834,2024-07-14 02:23:02,London,Chelsea,4437,47,8,,Wet,828
12901,2024-11-21 10:58:28,London,Kensington,1318,95,1,Medium,Dry,6914
18589,2024-06-04 12:38:54,,Islington,3941,41,6,,Snowy,2624
19646,2024-06-01 03:04:26,London,Southwark,4612,51,3,High,Damaged,8954
